q[nm-1]	I(q)[sr-1]_Luiz_eiger2_00364_av_sub_merged_rebin_ave.h5_00001_[POPS_4mM||sah=-0.500001|elev=-7.80781e-06]_trm=0.437477	error
9.30309203e-03	1.19586691e+01	9.91291510e-01
9.76257399e-03	6.89030841e+00	4.55800250e-01
1.02220569e-02	6.73217423e+00	3.22752297e-01
1.06815398e-02	4.04364396e+00	2.58337533e-01
1.11410217e-02	3.75700759e+00	2.15171468e-01
1.16005046e-02	3.75855604e+00	1.84599972e-01
1.20599875e-02	4.06655153e+00	1.61196858e-01
1.25194695e-02	4.35783325e+00	1.43207038e-01
1.29789524e-02	4.56528923e+00	1.28517507e-01
1.34384353e-02	4.44270512e+00	1.16015799e-01
1.38979172e-02	4.24900199e+00	1.05678250e-01
1.43574001e-02	3.93140424e+00	9.63168747e-02
1.48168830e-02	3.90433569e+00	8.82522718e-02
1.52763650e-02	3.76243849e+00	8.14809893e-02
1.57358479e-02	3.71534588e+00	7.63852703e-02
1.61953308e-02	3.68359611e+00	7.10774662e-02
1.66548137e-02	3.60638622e+00	6.64529938e-02
1.71142947e-02	3.43006062e+00	6.18915229e-02
1.75737776e-02	3.15108340e+00	5.77319238e-02
1.80332605e-02	3.22688600e+00	5.48729292e-02
1.84927434e-02	3.08952651e+00	5.19902934e-02
1.89522263e-02	3.14847228e+00	4.93336547e-02
1.94117092e-02	3.05539128e+00	4.67275994e-02
1.98711902e-02	2.95988753e+00	4.44104985e-02
2.03306731e-02	2.89528708e+00	4.23687979e-02
2.07901560e-02	2.85978729e+00	4.06415776e-02
2.12496389e-02	2.76113235e+00	3.88975908e-02
2.17091218e-02	2.69724405e+00	3.74660447e-02
2.21686047e-02	2.65527784e+00	3.60529506e-02
2.26280857e-02	2.55973231e+00	3.45569388e-02
2.30875686e-02	2.54321704e+00	3.32294364e-02
2.35470515e-02	2.51325034e+00	3.17478933e-02
2.40065344e-02	2.38489119e+00	2.96756121e-02
2.44660173e-02	2.27944551e+00	2.81474781e-02
2.49254983e-02	2.24774225e+00	2.68158467e-02
2.53849812e-02	2.15808459e+00	2.58281569e-02
2.58444641e-02	2.09299435e+00	2.50317269e-02
2.63039470e-02	2.07892662e+00	2.44873346e-02
2.67634299e-02	2.02482469e+00	2.37606371e-02
2.72229128e-02	1.93827360e+00	2.31859131e-02
2.76823938e-02	1.86543642e+00	2.25121522e-02
2.81418767e-02	1.85013170e+00	2.20208917e-02
2.86013596e-02	1.80071087e+00	2.15396023e-02
2.90608425e-02	1.71659599e+00	2.09352050e-02
2.95203254e-02	1.68925151e+00	2.04360334e-02
2.99798083e-02	1.66899188e+00	2.00118481e-02
3.04392893e-02	1.60082824e+00	1.95154132e-02
3.08987722e-02	1.52082488e+00	1.89429334e-02
3.13582569e-02	1.48804030e+00	1.85113478e-02
3.18177380e-02	1.45729041e+00	1.81873778e-02
3.22772190e-02	1.42747254e+00	1.79493204e-02
3.27367038e-02	1.37104512e+00	1.78793445e-02
3.31961848e-02	1.32130988e+00	1.76981053e-02
3.36556695e-02	1.25420384e+00	1.74837573e-02
3.41151506e-02	1.21459334e+00	1.72458548e-02
3.45746316e-02	1.18507183e+00	1.71087079e-02
3.50341164e-02	1.12569645e+00	1.68643787e-02
3.54935974e-02	1.08405952e+00	1.67009036e-02
3.59530821e-02	1.03744726e+00	1.64046264e-02
3.64125632e-02	9.96303780e-01	1.62063072e-02
3.68720442e-02	9.73080974e-01	1.60419784e-02
3.73315290e-02	9.24233205e-01	1.57382621e-02
3.77910100e-02	9.04985552e-01	1.55845054e-02
3.82504947e-02	8.58555401e-01	1.54188221e-02
3.87099758e-02	8.15266873e-01	1.51535781e-02
3.91694605e-02	7.82645869e-01	1.49693091e-02
3.96289416e-02	7.43208867e-01	1.47817955e-02
4.00884226e-02	7.39664375e-01	1.46727387e-02
4.05479074e-02	7.07061842e-01	1.44177875e-02
4.10073884e-02	6.84683718e-01	1.42400300e-02
4.14668731e-02	6.54061473e-01	1.41069945e-02
4.19263542e-02	6.06382887e-01	1.38915207e-02
4.23858352e-02	5.78965761e-01	1.37144169e-02
4.28453200e-02	5.67261947e-01	1.35948497e-02
4.33048010e-02	5.50641401e-01	1.34661413e-02
4.37642857e-02	5.25404198e-01	1.32870026e-02
4.42237668e-02	5.09770552e-01	1.31805423e-02
4.46832478e-02	4.92675263e-01	1.30770122e-02
4.51427326e-02	4.63563167e-01	1.29249991e-02
4.56022136e-02	4.59271361e-01	1.28394176e-02
4.60616983e-02	4.41049111e-01	1.27289316e-02
4.65211794e-02	4.14539190e-01	1.25463426e-02
4.69806641e-02	3.88293727e-01	1.23780518e-02
4.74401452e-02	3.70541470e-01	1.22467478e-02
4.78996262e-02	3.58475741e-01	1.21845724e-02
4.83591110e-02	3.53015106e-01	1.20835024e-02
4.88185920e-02	3.36421352e-01	1.19988337e-02
4.92780767e-02	3.29034954e-01	1.19110273e-02
4.97375578e-02	3.20866573e-01	1.17909954e-02
5.01970388e-02	3.20458690e-01	1.15408093e-02
5.06565236e-02	3.07896178e-01	1.12703659e-02
5.11160046e-02	2.95758456e-01	1.10592986e-02
5.15754893e-02	2.88625570e-01	1.08584180e-02
5.20349704e-02	2.83801751e-01	1.07283681e-02
5.24944514e-02	2.74944063e-01	1.05858567e-02
5.29539362e-02	2.64292680e-01	1.04378665e-02
5.34134172e-02	2.47638586e-01	1.02858074e-02
5.38729019e-02	2.40457930e-01	1.01672341e-02
5.43323830e-02	2.34594059e-01	1.00735478e-02
5.47918677e-02	2.36797158e-01	1.00935608e-02
5.52513488e-02	2.28324650e-01	1.01680225e-02
5.57108298e-02	2.15508642e-01	1.01374834e-02
5.61703146e-02	2.14938095e-01	1.01408507e-02
5.66297956e-02	2.13748051e-01	1.01492349e-02
5.70892803e-02	2.11205240e-01	1.01337924e-02
5.75487614e-02	2.11824324e-01	1.01096699e-02
5.80082424e-02	2.00050597e-01	1.00636202e-02
5.84677272e-02	1.97217202e-01	1.00337486e-02
5.89272082e-02	1.86293660e-01	9.97064660e-03
5.98461740e-02	1.79702193e-01	5.69804152e-03
6.12246208e-02	1.76478977e-01	5.45659409e-03
6.26030713e-02	1.63423828e-01	5.27824451e-03
6.39815181e-02	1.55983351e-01	5.14218655e-03
6.53599650e-02	1.49840092e-01	5.01052399e-03
6.67384118e-02	1.46576001e-01	4.89422508e-03
6.81168586e-02	1.39629653e-01	4.79243179e-03
6.94953054e-02	1.36890292e-01	4.71794162e-03
7.08737522e-02	1.32009302e-01	4.64780382e-03
7.22522065e-02	1.28138667e-01	4.58305347e-03
7.36306533e-02	1.22068085e-01	4.51966114e-03
7.50091001e-02	1.18550449e-01	4.47261546e-03
7.63875470e-02	1.13038855e-01	4.42790088e-03
7.77659938e-02	1.10609943e-01	4.38937672e-03
7.91444406e-02	1.07564293e-01	4.34019825e-03
8.09823722e-02	1.03331756e-01	3.30825895e-03
8.32797885e-02	9.18070487e-02	3.23523305e-03
8.55771974e-02	8.87433873e-02	3.17800792e-03
8.78746137e-02	8.24637661e-02	3.11312421e-03
9.01720226e-02	7.46660932e-02	3.05306601e-03
9.24694389e-02	7.22303921e-02	2.99824390e-03
9.47668478e-02	6.67257319e-02	2.94394466e-03
9.70642641e-02	6.20975595e-02	2.89338792e-03
9.93616730e-02	5.89499558e-02	2.85017953e-03
1.01659089e-01	5.66897304e-02	2.80937658e-03
1.03956498e-01	5.43104607e-02	2.77329683e-03
1.06253915e-01	5.08862838e-02	2.73860981e-03
1.08551323e-01	4.92847914e-02	2.70439928e-03
1.10848740e-01	4.80323819e-02	2.67517587e-03
1.13146149e-01	4.69776589e-02	2.64494152e-03
1.15443565e-01	4.38432397e-02	2.61667518e-03
1.17740981e-01	4.08584471e-02	2.58685016e-03
1.20497875e-01	4.09561511e-02	2.15672239e-03
1.23714253e-01	3.75728208e-02	2.12263720e-03
1.26930624e-01	3.53845175e-02	2.09032178e-03
1.30147010e-01	3.28388873e-02	2.05508655e-03
1.33363381e-01	3.07323574e-02	2.02144849e-03
1.36579767e-01	2.87095052e-02	1.98971651e-03
1.39796138e-01	2.72874302e-02	1.96314199e-03
1.43012524e-01	2.53515917e-02	1.93784953e-03
1.46228895e-01	2.34052027e-02	1.91527371e-03
1.49904758e-01	2.24860948e-02	1.89309677e-03
1.53121129e-01	2.12018912e-02	1.87349365e-03
1.56337515e-01	1.99791581e-02	1.85462214e-03
1.59553885e-01	1.89944377e-02	1.83389637e-03
1.63229749e-01	1.79566388e-02	1.59686182e-03
1.67365089e-01	1.69976319e-02	1.57352937e-03
1.71500444e-01	1.60586231e-02	1.54828803e-03
1.75635785e-01	1.50607490e-02	1.52489119e-03
1.79771125e-01	1.39565715e-02	1.50372219e-03
1.83906466e-01	1.34129499e-02	1.48612751e-03
1.88041806e-01	1.24961089e-02	1.46978386e-03
1.92177147e-01	1.17469853e-02	1.45507528e-03
1.96312502e-01	1.11460267e-02	1.44138492e-03
2.00907320e-01	1.05509388e-02	1.28840651e-03
2.05961630e-01	9.92893119e-03	1.28300900e-03
2.11015940e-01	9.40672168e-03	1.30133715e-03
2.16070250e-01	8.68318010e-03	1.30170532e-03
2.21124560e-01	8.07359712e-03	1.30088904e-03
2.26178870e-01	7.63371726e-03	1.26286311e-03
2.31233165e-01	7.04815672e-03	1.23772279e-03
2.36287475e-01	6.74749918e-03	1.22005209e-03
2.41801277e-01	6.17036343e-03	1.10471223e-03
2.47774541e-01	5.86083818e-03	1.08643609e-03
2.50990927e-01	5.46175333e-03	3.87916185e-03
2.51450419e-01	5.24726101e-03	3.87225685e-03
2.51909882e-01	5.52102350e-03	3.86773578e-03
2.52369374e-01	5.60774670e-03	3.86275517e-03
2.52828866e-01	5.31571541e-03	3.85506636e-03
2.53288329e-01	5.48216837e-03	3.85097212e-03
2.53747821e-01	5.62175522e-03	3.84729041e-03
2.54207313e-01	5.64370171e-03	3.84221807e-03
2.66234905e-01	4.63902298e-03	7.27663137e-05
2.72213936e-01	4.31077834e-03	7.12423862e-05
2.78192997e-01	4.10932815e-03	6.95314811e-05
2.84172028e-01	3.74648767e-03	6.77899006e-05
2.90151060e-01	3.48002091e-03	6.66521810e-05
2.96130121e-01	3.19248671e-03	6.48632267e-05
3.02109152e-01	2.90480070e-03	6.40894505e-05
3.08088183e-01	2.66598398e-03	6.29895148e-05
3.14067245e-01	2.44375877e-03	6.04459165e-05
3.20046276e-01	2.25131493e-03	5.79160587e-05
3.26025307e-01	2.16117408e-03	5.57283784e-05
3.32004339e-01	1.96475675e-03	5.43859751e-05
3.37983400e-01	1.70921627e-03	5.33754755e-05
3.43962431e-01	1.68223632e-03	5.24313800e-05
3.49941462e-01	1.50420610e-03	5.16529872e-05
3.55920523e-01	1.39741926e-03	5.09252241e-05
3.61899555e-01	1.23062963e-03	5.01621289e-05
3.67878586e-01	1.17735984e-03	4.93047082e-05
3.73857647e-01	1.09501975e-03	4.84711854e-05
3.79836679e-01	9.60077159e-04	4.79256669e-05
3.85815710e-01	8.25559720e-04	4.72340653e-05
3.91794741e-01	7.53953122e-04	4.66859565e-05
3.97773802e-01	6.23300672e-04	4.59810035e-05
4.03752834e-01	5.72556630e-04	4.54463807e-05
4.09731865e-01	4.70376108e-04	4.46829072e-05
4.15710926e-01	4.64454759e-04	4.42398414e-05
4.21689957e-01	3.84262763e-04	4.37492927e-05
4.27668989e-01	3.20056453e-04	4.38852549e-05
4.33648050e-01	3.10369302e-04	4.46977356e-05
4.39627081e-01	2.33144965e-04	4.46911108e-05
4.45606112e-01	1.16740353e-04	4.48956998e-05
4.51585144e-01	8.60672444e-05	4.50955122e-05
4.57564205e-01	2.18236819e-04	4.45562800e-05
4.63543236e-01	1.39842276e-04	4.46624726e-05
4.69522268e-01	1.32137910e-04	4.45219703e-05
4.75501329e-01	1.49732456e-04	4.43373356e-05
4.81480360e-01	1.02852937e-04	4.44043762e-05
4.87459391e-01	1.06339343e-04	4.42352175e-05
4.93438452e-01	-1.09113753e-05	4.43834215e-05
4.99417484e-01	2.08211131e-05	4.42619785e-05
5.05396545e-01	5.42355701e-05	4.41868215e-05
5.11375546e-01	2.68341973e-05	4.41202064e-05
5.17354608e-01	8.37151892e-05	4.37055460e-05
5.23333669e-01	4.05954197e-05	4.38772913e-05
5.29312670e-01	5.08916564e-05	4.37960625e-05
5.35291731e-01	9.51960683e-05	4.35376678e-05
5.41270733e-01	1.39437616e-05	4.34321773e-05
5.47249794e-01	2.98032537e-05	4.33142523e-05
5.53228855e-01	1.32766552e-04	4.31707813e-05
5.59207857e-01	1.14065595e-04	4.31155131e-05
5.65186918e-01	8.94092955e-05	4.28941348e-05
5.71165979e-01	1.06467400e-04	4.28736967e-05
5.77144980e-01	2.75152735e-04	4.24964601e-05
5.83124042e-01	1.57180708e-04	4.26608676e-05
5.89103103e-01	1.27740204e-04	4.26646257e-05
5.95082104e-01	1.91387720e-04	4.23071106e-05
6.01061165e-01	2.65155453e-04	4.21287732e-05
6.07040226e-01	3.35167162e-04	4.19834032e-05
6.13019228e-01	3.73764895e-04	4.16349285e-05
6.18998289e-01	2.48291995e-04	4.19681601e-05
6.24977350e-01	2.77738553e-04	4.17738411e-05
6.30956352e-01	3.49712558e-04	4.13543457e-05
6.36935413e-01	3.49207781e-04	4.14927854e-05
6.42914474e-01	4.50816005e-04	4.12003610e-05
6.48893476e-01	4.77067195e-04	4.10284156e-05
6.54872537e-01	5.35053667e-04	4.08352862e-05
6.60851598e-01	5.25766984e-04	4.02564256e-05
6.66830599e-01	5.33814076e-04	3.92375005e-05
6.72809660e-01	5.10369428e-04	3.88193912e-05
6.78788662e-01	5.71325887e-04	3.84813175e-05
6.84767723e-01	5.82411885e-04	3.81298341e-05
6.90746784e-01	6.77076168e-04	3.76575008e-05
6.96725786e-01	6.27592206e-04	3.75113195e-05
7.02704847e-01	7.04596750e-04	3.73500006e-05
7.08683908e-01	7.55422283e-04	3.70459929e-05
7.14662910e-01	7.74233136e-04	3.67635439e-05
7.20641971e-01	7.48869032e-04	3.68208748e-05
7.26621032e-01	8.37359112e-04	3.71905044e-05
7.32600033e-01	8.93219840e-04	3.74210904e-05
7.38579094e-01	9.67227854e-04	3.75211785e-05
7.44558156e-01	9.74718947e-04	3.75451746e-05
7.50537157e-01	9.89336055e-04	3.76539319e-05
7.56516218e-01	1.00013055e-03	3.78180193e-05
7.62495279e-01	1.08738896e-03	3.76291500e-05
7.68474281e-01	1.04650017e-03	3.79904086e-05
7.80432403e-01	1.15796365e-03	2.18284709e-05
7.98369467e-01	1.23590464e-03	2.14658184e-05
8.16306591e-01	1.32462103e-03	2.06983792e-05
8.34243715e-01	1.43452315e-03	2.02366620e-05
8.52180839e-01	1.55677848e-03	1.96907031e-05
8.70117962e-01	1.67403743e-03	1.92509466e-05
8.88055086e-01	1.73431185e-03	1.88925313e-05
9.05992210e-01	1.81448149e-03	1.85736950e-05
9.23929334e-01	1.94056984e-03	1.83852444e-05
9.41866457e-01	1.97187609e-03	1.82502028e-05
9.59803581e-01	2.05224675e-03	1.80908918e-05
9.77740705e-01	2.19878849e-03	1.79269581e-05
9.95677829e-01	2.30430672e-03	1.78107229e-05
1.01361489e+00	2.30791947e-03	1.77335435e-05
1.03155208e+00	2.36887283e-03	1.75936345e-05
1.05546820e+00	2.42937701e-03	1.34725278e-05
1.08536339e+00	2.47441381e-03	1.31995064e-05
1.11525857e+00	2.51541231e-03	1.29744695e-05
1.14515388e+00	2.53812708e-03	1.27616912e-05
1.17504907e+00	2.54789274e-03	1.25835128e-05
1.20494425e+00	2.53526056e-03	1.24210390e-05
1.23483944e+00	2.52029514e-03	1.22710991e-05
1.26473463e+00	2.51121139e-03	1.20738732e-05
1.29462981e+00	2.46474231e-03	1.19003536e-05
1.32452500e+00	2.43216231e-03	1.16887539e-05
1.35442019e+00	2.36142986e-03	1.14957722e-05
1.38431549e+00	2.33568205e-03	1.13301387e-05
1.41421068e+00	2.29459144e-03	1.11934869e-05
1.44410586e+00	2.22416893e-03	1.10586269e-05
1.47400105e+00	2.14861082e-03	1.09259324e-05
1.50389624e+00	2.07444541e-03	1.07962572e-05
1.53379142e+00	2.00673174e-03	1.06360412e-05
1.56966567e+00	1.88499716e-03	8.82625297e-06
